name,cycles,treasurer_name,committee_type,committee_type_full,filing_frequency,designation,designation_full,organization_type,organization_type_full,affiliated_committee_name,party,party_full,state,committee_id,candidate_ids,first_file_date,last_file_date,last_f1_date
YANCEY FOR U.S. SENATE,{2020},"YANCEY, ALEXANN YANCEY",S,Senate,Q,P,Principal campaign committee,,,NONE,REP,REPUBLICAN PARTY,TX,C00715516,{S0TX00282},2019-08-12,2019-09-09,2019-09-09
SANTORUM 2000,"{1996,1998,2000,2002,2004}",JUDITH M MCVERRY,S,Senate,T,A,Authorized by a candidate,,,,REP,REPUBLICAN PARTY,PA,C00300566,{S4PA00063},1995-01-10,2004-01-23,2003-01-16
COMMITTEE TO ELECT ERDEY FOR SENATOR,"{1980,1982}",DR M R A ERDEY,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,AL,C00110510,{S8AL00209},1979-06-18,1981-12-03,1979-06-18
SINGH FOR SENATE,"{2018,2020}","CURTIS, ELIZABETH",S,Senate,Q,P,Principal campaign committee,,,NONE,REP,REPUBLICAN PARTY,NJ,C00670737,"{H8NJ02216,S0NJ00191,S8NJ00483}",2018-02-20,2019-07-15,2019-04-24
WILL STEWART FOR US SENATE,"{2014,2016,2018,2020}",WILLIAM C STEWART JR,S,Senate,Q,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,NC,C00554212,{},2014-01-06,2014-01-27,2014-01-15
COMMITTEE FOR WENDELL FORD,"{1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002}",ROBERT E SPURLIN,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,KY,C00096941,{S0KY00016},1978-06-06,2001-08-03,1997-08-28
FRIENDS OF PAT TOOMEY,"{2010,2012,2014,2016,2018,2020}",LISA LISKER,S,Senate,Q,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,VA,C00461046,{S4PA00121},2009-04-17,2019-07-15,2016-10-27
TROY DOWNING FOR US SENATE,"{2018,2020}",LISA LISKER,S,Senate,Q,P,Principal campaign committee,,,NONE,REP,REPUBLICAN PARTY,MT,C00640052,{S8MT00218},2017-05-10,2019-07-13,2017-05-10
FRIENDS OF DUANE SAND,{2000},KAREN RISKEY,S,Senate,T,A,Authorized by a candidate,,,,REP,REPUBLICAN PARTY,ND,C00352914,{S0ND00069},2000-01-24,2000-08-18,2000-01-24
FLOYD TRUJILLO FOR US SENATE,"{2014,2016,2018,2020}",BRUCE N BARKER,S,Senate,Q,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,CO,C00554766,{S4CO00379},2014-01-08,2019-07-15,2014-01-08
CHARLIE HARDY FOR US SENATE,"{2014,2016}",CHARLES E HARDY,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,WY,C00554758,{S4WY00097},2014-01-06,2015-11-01,2014-12-08
REBECCA YANISCH FOR US SENATE INC,"{2000,2002}",BARBARA PORTWOOD,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MN,C00352880,{S0MN00153},2000-01-24,2002-04-05,2000-04-10
GORMLEY FOR SENATE PRIMARY ELECTION FUND,"{2000,2002,2004,2006,2008}",WILLIAM L GORMLEY ESQ,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NJ,C00349795,{S8NJ00350},1999-10-14,2007-07-16,2007-07-16
